# wavenum(1/um), tau
7.660056657223795, 1.0874524714828895
7.626062322946173, 1.0570342205323193
7.575070821529743, 1.0228136882129275
7.541076487252124, 0.9923954372623572
7.507082152974502, 0.961977186311787
7.456090651558074, 0.9277566539923953
7.405099150141642, 0.8935361216730037
7.3711048158640216, 0.8669201520912546
7.337110481586401, 0.8326996197718629
7.3031161473087804, 0.8022813688212926
7.252124645892349, 0.7756653992395436
7.201133144475919, 0.7452471482889733
7.1671388101983, 0.7186311787072241
7.116147308781868, 0.6920152091254752
7.0821529745042495, 0.6653992395437263
7.048158640226627, 0.6387832699619771
7.014164305949008, 0.6159695817490494
6.963172804532577, 0.585551330798479
6.912181303116147, 0.55893536121673
6.861189801699715, 0.5323193916349809
6.810198300283285, 0.5057034220532317
6.759206798866853, 0.482889733840304
6.708215297450425, 0.4600760456273765
6.640226628895184, 0.43726235741444874
6.572237960339943, 0.414448669201521
6.487252124645891, 0.3954372623574145
6.40226628895184, 0.376425855513308
6.31728045325779, 0.35741444866920147
6.215297450424928, 0.3422053231939164
6.096317280453257, 0.3231939163498099
6.0113314447592066, 0.30798479087452457
5.909348441926345, 0.2927756653992395
5.807365439093483, 0.2775665399239544
5.722379603399433, 0.26235741444866933
5.620396600566571, 0.24334600760456282
5.5014164305949, 0.2243346007604563
5.399433427762039, 0.20912547528517123
5.297450424929178, 0.19771863117870736
5.161473087818696, 0.18631178707224327
5.042492917847025, 0.17870722433460084
4.923512747875353, 0.1749049429657794
4.838526912181302, 0.1711026615969582
4.719546742209632, 0.1711026615969582
4.60056657223796, 0.16730038022813698
4.4645892351274785, 0.16349809885931554
4.3456090651558075, 0.15969581749049433
4.2266288951841355, 0.1558935361216729
4.1076487252124645, 0.15209125475285168
4.005665722379603, 0.14448669201520903
3.9206798866855515, 0.1368821292775666
3.8016997167138813, 0.12927756653992395
3.6997167138810196, 0.1216730038022813
3.5807365439093486, 0.11026615969581743
3.4617563739376767, 0.10266159695817478
3.359773371104816, 0.09125475285171114
3.240793201133145, 0.07984790874524728
3.1558073654390935, 0.07224334600760463
3.070821529745043, 0.0646387832699622
2.9688385269121813, 0.057034220532319546
2.8328611898017, 0.04562737642585568
2.713881019830028, 0.03802281368821303
2.6118980169971673, 0.034220532319391817
2.475920679886686, 0.026615969581749166
2.373937677053825, 0.02281368821292795
2.2549575070821533, 0.019011406844106515
2.135977337110482, 0.015209125475285301
2.0339943342776206, 0.015209125475285301
1.9320113314447598, 0.015209125475285301
1.8300283286118981, 0.011406844106463865
1.711048158640227, 0.011406844106463865
1.6260623229461761, 0.011406844106463865
1.4900849858356944, 0.011406844106463865
1.3371104815864032, 0.011406844106463865
1.2011331444759215, 0.0076045627376426506
1.0991501416430602, 0.0038022813688214363
1.0141643059490093, 0.0038022813688214363
