# wavel(nm), crosssec(cm2)
105.86101649570641, 2.672069530580969e-17
112.6152688289316, 2.356899489472942e-17
116.74382716049384, 1.9020510804354703e-17
116.683367101245, 1.2904245077255677e-17
123.75719403335681, 1.0032373538729997e-17
123.15259344086861, 6.06767009864616e-18
124.22360020470485, 1.9285004860552615e-17
126.05467628481195, 4.036088343394385e-18
128.32797451256755, 2.823831452503596e-18
130.98449650048485, 1.250725649260521e-17
129.5095368133159, 7.811492215406836e-18
130.4078005507269, 2.3087432799404325e-18
133.08013516952468, 2.7221332567108442e-17
134.19663093031954, 1.7834416372066252e-17
133.37034345391902, 5.215718953905204e-18
135.62463994876788, 3.948586538583662e-17
136.2559371907945, 3.3384653241993385e-18
140.91057655737887, 1.9568722983121503e-18
139.23496920105447, 2.08798565727804e-17
141.14835225257593, 6.049545470899974e-18
142.69328459008693, 1.3202111025565797e-18
139.71864967504501, 3.472114136617505e-17
143.93573880765018, 3.1948767559590484e-18
148.70230318460483, 2.1727091232594192e-18
148.53159242907873, 8.503170389251583e-19
147.77192956698764, 5.025947312488583e-19
150.17823992509074, 6.632444039371176e-18
149.8759396288466, 1.3170257460905195e-18
150.36673305098407, 3.326628237724654e-19
152.01219505563824, 3.711228495773119e-18
153.44626523290844, 2.156696840051568e-19
154.03904656569387, 1.1513569095554747e-19
153.86630353926864, 7.067006924865719e-20
153.86630353926864, 5.052003453950046e-20
153.86630353926864, 3.611534440262085e-20
153.86630353926864, 2.581783866953043e-20
153.86630353926864, 1.8456442949427592e-20
153.86630353926864, 1.3193989268648109e-20
153.86630353926864, 9.563742618249143e-21
153.50354318377572, 6.740807077012788e-21
153.50354318377572, 4.818812404959808e-21
153.50354318377572, 3.4448327520574565e-21
153.50354318377572, 2.462613543003616e-21
153.20673925655427, 1.835759363482349e-21
156.42471867800816, 7.958564364891808e-19
156.33307395662047, 5.025947312488583e-19
157.5543671534466, 1.3691005160884746e-18
159.0007578016299, 3.8046877251404263e-19
160.61364615143685, 2.5723897761386147e-19
159.67046922715525, 1.777841549957626e-19
160.8192103528828, 1.1228568927369402e-19
161.9921355023099, 7.813517832608402e-20
161.2251564649821, 5.711231313351398e-20
159.67046922715525, 3.993032559905639e-20
159.67046922715525, 2.8807566303218135e-20
159.30770887166238, 2.012777181932763e-20
159.09005265836663, 1.397765873083846e-20
159.67046922715525, 9.244213837000732e-21
159.67046922715525, 6.2330191259446385e-21
159.67046922715525, 4.455809154794e-21
159.67046922715525, 3.1853319912502075e-21
159.48908904940885, 2.1614441137447908e-21
160.03322958264818, 1.7390961348952422e-21
164.57840344852997, 7.069787313778677e-19
165.30392415951582, 1.2680692172557295e-18
164.26543373006552, 4.443940575413188e-19
168.3767177589852, 7.775375521873742e-19
172.1079671297694, 1.6764381004949121e-18
175.33318104667285, 3.471714243475522e-18
173.455362735886, 2.3412590687370814e-18
180.07040451252146, 5.515399993727863e-18
179.62228877926555, 3.2626076642477997e-18
184.17694657600987, 9.21511132137766e-18
187.3853603868139, 6.482381741676759e-18
190.73182466623604, 1.3967058392705275e-17
190.26325920705767, 1.0245058353818034e-17
193.30824764558912, 3.805635238202992e-18
195.94650477644666, 4.404291714720571e-18
198.0505148383055, 1.5922295373642425e-17
199.9368686868687, 2.7761296467849857e-18
204.4592811186804, 1.8458414418141885e-18
207.86577359978526, 1.142328705857099e-18
205.01551366376947, 1.3077669201510188e-17
208.28035686320572, 7.657647636051605e-19
213.98778645629426, 3.153239728817749e-19
213.7496668383297, 1.453598572039772e-19
215.53556397306397, 2.1538604494997933e-19
215.05188349907343, 1.2226229449754382e-18
216.11598054185265, 5.474235799931739e-19
217.3214611077983, 6.272378932868206e-20
219.6248625258932, 9.615240076013392e-20
218.07488646151438, 1.429670606061748e-19
220.56238604203725, 3.590130244788105e-20
220.25144859447187, 2.2740690946535058e-20
219.96930165131073, 1.6160507768679405e-20
221.7427967226094, 1.1167570225193273e-20
222.13780244303507, 8.435561893259344e-21
222.06525037193643, 5.723692856866304e-20
223.96974223827425, 5.5238600894865734e-21
223.6199376097632, 3.6014565749879806e-21
224.60457286038684, 2.2227553662731795e-21
224.96733321587976, 1.6612905953243007e-21
101.6795865633075, 2.2440495820216522e-17
97.80361757105943, 1.9590043404215792e-17
92.63565891472867, 1.7101663156360496e-17
88.7596899224806, 2.2440495820216522e-17
84.23772609819123, 2.7888665196083934e-17
79.06976744186046, 3.2826470414275484e-17
73.25581395348837, 3.2826470414275484e-17
66.1498708010336, 3.1090332645981766e-17
60.33591731266151, 2.7888665196083934e-17
54.52196382428939, 2.4346171584352057e-17
47.416020671834616, 2.068398519711481e-17
38.3720930232558, 1.3760780513545333e-17
32.55813953488371, 9.666087840377995e-18
26.098191214470262, 5.927360708147116e-18
21.57622739018086, 3.837698005790586e-18
